Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
1.504166667,3.880681878,2.979908376,2.754384907,2.463575749,-0.899306713
1.508333333,3.89270166,2.884747646,2.767695324,3.194500151,-0.660907762
1.5125,3.904324119,2.789390354,2.772140727,1.066896844,-0.534196162
1.516666667,3.915664541,2.721701133,2.773198549,0.253877055,-0.433434356
1.520833333,3.926630646,2.631865208,2.76944482,-0.900894742,-0.422106161
1.525,3.938207355,2.778410124,2.766150743,-0.790578601,-0.51795131
1.529166667,3.949346843,2.673477176,2.769953669,0.91270222,-0.353349097
1.533333333,3.959634615,2.469065423,2.764965629,-1.197129525,-0.339728057
1.5375,3.970641557,2.641665902,2.757157334,-1.873990887,-0.443107733
1.541666667,3.982054307,2.73905995,2.761544574,1.052937602,-0.38063638
1.545833333,3.993918879,2.847497507,2.776081716,3.488914197,-0.180206569
1.55,4.005990603,2.897213626,2.760288633,-3.790340048,-0.49938329
1.554166667,4.01774724,2.821592951,2.764491547,1.008699452,-0.370611751
1.558333333,4.029255031,2.761869826,2.764818748,0.078528306,-0.372972725
1.5625,4.040583555,2.71884573,2.767618605,0.671965619,-0.301324896
1.566666667,4.052021286,2.745055503,2.765658295,-0.47047441,-0.268474822
1.570833333,4.063283526,2.702937532,2.75873603,-1.661343563,-0.23569737
1.575,4.075837336,3.012914347,2.779526362,4.989679505,0.07626996
1.579166667,4.086427885,2.541731835,2.772821585,-1.609146289,0.057671329
1.583333333,4.099337176,3.098229782,2.78691409,3.382201041,0.413816488
1.5875,4.110721228,2.73217241,2.779110989,-1.872744171,0.265675582
1.591666667,4.122177365,2.749472986,2.770161279,-2.147930379,0.084596496
1.595833333,4.133655861,2.754839078,2.770595906,0.10431057,0.110391315
1.6,4.144835936,2.683218011,2.771319116,0.173570305,0.109344839
1.604166667,4.156027611,2.686001882,2.762515372,-2.112898591,0.176595496
1.608333333,4.16725496,2.694563821,2.75110159,-2.739307728,-0.031519843
